
Rk	team	categories	R1	R2	R3	R4	R5	R6	Pts	Spk	1sts	2nds	DS
Nova MT	3rd	Closing Government	Ben BensaliⒸ
CW KH	2nd	Closing Opposition	Ben BensaliⒸ
Shanghai Oreo	1st	Opening Government	Ben BensaliⒸ
SUFE B	1st	Opening Government	NayantaraⒸ
GMUK A	4th	Opening Opposition	NayantaraⒸ
Swing 250	2nd	Closing Government	NayantaraⒸ
Nova 4AM	3rd	Closing Opposition	NayantaraⒸ
RSG Emerald	1st	Opening Government	Kyle Louis RamosⒸ
Nova Calamari	2nd	Opening Opposition	Kyle Louis RamosⒸ
GMUK C	4th	Closing Government	Kyle Louis RamosⒸ
DeepSick	3rd	Closing Opposition	Kyle Louis RamosⒸ
Oriental Alchemists	1st	Opening Government	Jonathan TuliaoⒸ
Enemies to partners	2nd	Opening Opposition	Jonathan TuliaoⒸ
RSG Silver	3rd	Closing Government	Jonathan TuliaoⒸ
CW SC	4th	Closing Opposition	Jonathan TuliaoⒸ
LOZO JAYJAY	1st	Opening Government	Park YoungwooⒸ
Charli XCX? We are Careless XXX	2nd	Opening Opposition	Park YoungwooⒸ
CW LL	3rd	Closing Government	Park YoungwooⒸ
CW RC	4th	Closing Opposition	Park YoungwooⒸ
November Rain	2nd	Opening Government	Miro FortunaⒸ
CW EM	4th	Opening Opposition	Miro FortunaⒸ
DKU Orbis linguam	3rd	Closing Government	Miro FortunaⒸ
Patina	1st	Closing Opposition	Miro FortunaⒸ
Mr Hobo	1st	Opening Government	Klaudia MaciejewskaⒸ , Vu Duc Hung Allen
LOZO - Wait Please No	3rd	Opening Opposition	Klaudia MaciejewskaⒸ , Vu Duc Hung Allen
CW JI	2nd	Closing Government	Klaudia MaciejewskaⒸ , Vu Duc Hung Allen
Everlasting Passion	4th	Closing Opposition	Klaudia MaciejewskaⒸ , Vu Duc Hung Allen
DKU Chipakam	1st	Opening Government	Prashasti SaxenaⒸ
GDP 1	2nd	Opening Opposition	Prashasti SaxenaⒸ
JH	3rd	Closing Government	Prashasti SaxenaⒸ
MUST B	4th	Closing Opposition	Prashasti SaxenaⒸ
PLKC B	1st	Opening Government	Lia TanⒸ
Titan	4th	Opening Opposition	Lia TanⒸ
DKUAE	2nd	Closing Government	Lia TanⒸ
GDP 2	3rd	Closing Opposition	Lia TanⒸ
Blue Sky Kindergarten	2nd	Opening Government	Asif Mehedi AdiⒸ
MUST A	3rd	Opening Opposition	Asif Mehedi AdiⒸ
Exons	4th	Closing Government	Asif Mehedi AdiⒸ
This is a wug	1st	Closing Opposition	Asif Mehedi AdiⒸ
Big Macs	1st	Opening Government	Adel Mostaque AhmedⒸ
Lawful Troublemakers	2nd	Opening Opposition	Adel Mostaque AhmedⒸ
GMUK B	4th	Closing Government	Adel Mostaque AhmedⒸ
SUFE Encounter	3rd	Closing Opposition	Adel Mostaque AhmedⒸ
Mmmmm, K	2nd	Opening Government	Judy JIⒸ
CW YM	4th	Opening Opposition	Judy JIⒸ
CW JH	3rd	Closing Government	Judy JIⒸ
RSG Sapphire	1st	Closing Opposition	Judy JIⒸ
Motion Sickness	2nd	Opening Government	KavisshnuⒸ
McFlurry	4th	Opening Opposition	KavisshnuⒸ
Time is ticking！！！	3rd	Closing Government	KavisshnuⒸ
CW LJ	1st	Closing Opposition	KavisshnuⒸ
CW AE	1st	Opening Government	Matcha CualⒸ
Jellycat lovers	3rd	Opening Opposition	Matcha CualⒸ
Schrodingers arguments	2nd	Closing Government	Matcha CualⒸ
very mindful, very demure	4th	Closing Opposition	Matcha CualⒸ
MUST D	4th	Opening Government	Ken SingsonⒸ
Mocha Chocolate	2nd	Opening Opposition	Ken SingsonⒸ
DKU Waiguo Girls	1st	Closing Government	Ken SingsonⒸ
LOZO - Trying to remember what we l	3rd	Closing Opposition	Ken SingsonⒸ
DKU Deep Fried Oreos	1st	Opening Opposition	Aliyah HerlihyⒸ
Abnormal	3rd	Closing Government	Aliyah HerlihyⒸ
Charlie Bucket	2nd	Closing Opposition	Aliyah HerlihyⒸ
LOZO IDK	4th	Opening Government	Aliyah HerlihyⒸ
Better Up！！！	1st	Opening Government	Jing Yu MaⒸ
RSG Diamond	3rd	Opening Opposition	Jing Yu MaⒸ
I Killed My Duolingo	2nd	Closing Government	Jing Yu MaⒸ
The Underdogs	4th	Closing Opposition	Jing Yu MaⒸ
guava	1st	Opening Government	Jaed BengzonⒸ
Bluestone	2nd	Opening Opposition	Jaed BengzonⒸ
Tung tung sahur	4th	Closing Government	Jaed BengzonⒸ
PLKC A	3rd	Closing Opposition	Jaed BengzonⒸ
XxNoBossJustHacksxX	1st	Opening Government	Daniel Christopher HaducaⒸ
LOZO - I’ll ask Charlotte	3rd	Opening Opposition	Daniel Christopher HaducaⒸ
RSG Red	4th	Closing Government	Daniel Christopher HaducaⒸ
CW JR	2nd	Closing Opposition	Daniel Christopher HaducaⒸ
B&amp;I	3rd	Opening Government	Kenji TateⒸ
CW NK	2nd	Opening Opposition	Kenji TateⒸ
FDU A	4th	Closing Government	Kenji TateⒸ
XxNoHacksJustBossxX	1st	Closing Opposition	Kenji TateⒸ
CW AB	3rd	Opening Government	Sharun NikeshⒸ
Iphone SE	4th	Opening Opposition	Sharun NikeshⒸ
Smart is just an Adjective to descr	2nd	Closing Government	Sharun NikeshⒸ
Capstone AJ	1st	Closing Opposition	Sharun NikeshⒸ
We don’t have a 1st speaker	1st	Opening Opposition	Gabrielle PacañoⒸ
Two Little Rizzlers	4th	Closing Government	Gabrielle PacañoⒸ
Starberry	2nd	Closing Opposition	Gabrielle PacañoⒸ
CW TP	3rd	Opening Government	Gabrielle PacañoⒸ
Ethan Gao	1st	Opening Government	Francis VendiolaⒸ
CW LW	4th	Closing Government	Francis VendiolaⒸ
MUST C	3rd	Opening Opposition	Francis VendiolaⒸ
Nova A Leg Splitting Frog	2nd	Closing Opposition	Francis VendiolaⒸ
CW MG	3rd	Opening Government	George ChenⒸ , Alikhan
Silver Fainted	4th	Opening Opposition	George ChenⒸ , Alikhan
SUFE A	1st	Closing Government	George ChenⒸ , Alikhan
Name Pending（Please Hold）	2nd	Closing Opposition	George ChenⒸ , Alikhan
Mchua A	1st	Opening Opposition	Neackle MempinⒸ , Ian Qiu
strawberry	3rd	Closing Government	Neackle MempinⒸ , Ian Qiu
CW CK	2nd	Closing Opposition	Neackle MempinⒸ , Ian Qiu
CW TG	4th	Opening Government	Neackle MempinⒸ , Ian Qiu
Nova Shrimp Tempura	4th	Opening Government	Christopher ChuaⒸ
Nova Basketboy	2nd	Opening Opposition	Christopher ChuaⒸ
CW MO	1st	Closing Government	Christopher ChuaⒸ
One moment	3rd	Closing Opposition	Christopher ChuaⒸ
Lex Ultima	2nd	Opening Government	Xandy Sophia ArmamentoⒸ
shella	1st	Opening Opposition	Xandy Sophia ArmamentoⒸ
Eighteen	4th	Closing Government	Xandy Sophia ArmamentoⒸ
Agile Minds	3rd	Closing Opposition	Xandy Sophia ArmamentoⒸ
DKU are you sober?	1st	Opening Government	Daniella BarbacenaⒸ
LnR	3rd	Opening Opposition	Daniella BarbacenaⒸ
Call It	4th	Closing Government	Daniella BarbacenaⒸ
Autumn Girls	2nd	Closing Opposition	Daniella BarbacenaⒸ
VADP LN	3rd	Opening Opposition	Umar FazlanⒸ
RSG Gold	1st	Closing Government	Umar FazlanⒸ
Chocolate taco	2nd	Opening Government	Umar FazlanⒸ
Love and Kindness to Humanity	4th	Closing Opposition	Umar FazlanⒸ


team	result	side	adjudicators
GDP 2	4th	Opening Government	Ngô Minh Kiên JackⒸ
Abnormal	3rd	Opening Opposition	Ngô Minh Kiên JackⒸ
SUFE Encounter	2nd	Closing Government	Ngô Minh Kiên JackⒸ
Lex Ultima	1st	Closing Opposition	Ngô Minh Kiên JackⒸ
CW JH	4th	Opening Government	Mezen LababidiⒸ
CW AE	2nd	Opening Opposition	Mezen LababidiⒸ
guava	1st	Closing Government	Mezen LababidiⒸ
CW MG	3rd	Closing Opposition	Mezen LababidiⒸ
CW MO	4th	Opening Government	Jonathan TuliaoⒸ
XxNoBossJustHacksxX	2nd	Opening Opposition	Jonathan TuliaoⒸ
CW YM	1st	Closing Government	Jonathan TuliaoⒸ
Bluestone	3rd	Closing Opposition	Jonathan TuliaoⒸ
RSG Diamond	2nd	Opening Government	Liam OldreyⒸ
PLKC B	1st	Opening Opposition	Liam OldreyⒸ
Big Macs	3rd	Closing Government	Liam OldreyⒸ
FDU A	4th	Closing Opposition	Liam OldreyⒸ
Silver Fainted	4th	Opening Government	Christopher ChuaⒸ
PLKC A	1st	Opening Opposition	Christopher ChuaⒸ
CW NK	2nd	Closing Government	Christopher ChuaⒸ
Starberry	3rd	Closing Opposition	Christopher ChuaⒸ
shella	4th	Opening Government	KavisshnuⒸ
VADP Double2Tam	1st	Opening Opposition	KavisshnuⒸ
Nova A Leg Splitting Frog	2nd	Closing Government	KavisshnuⒸ
Mocha Chocolate	3rd	Closing Opposition	KavisshnuⒸ
Mmmmm, K	1st	Opening Government	Maeca PansensoyⒸ
Carelle	3rd	Opening Opposition	Maeca PansensoyⒸ
CW BV	2nd	Closing Government	Maeca PansensoyⒸ
LOZO JAYJAY	4th	Closing Opposition	Maeca PansensoyⒸ
strawberry	4th	Opening Government	Jordyn GibsonⒸ
CW AB	1st	Opening Opposition	Jordyn GibsonⒸ
Xiao Bai	3rd	Closing Government	Jordyn GibsonⒸ
CityUHK A	2nd	Closing Opposition	Jordyn GibsonⒸ
Ethan Gao	4th	Opening Opposition	Gabrielle PacañoⒸ
CW SC	2nd	Closing Government	Gabrielle PacañoⒸ
One moment	3rd	Opening Government	Gabrielle PacañoⒸ
Tung tung sahur	1st	Closing Opposition	Gabrielle PacañoⒸ
The Underdogs	2nd	Opening Government	Lia TanⒸ
U 16	3rd	Opening Opposition	Lia TanⒸ
Cutsies Fruties	1st	Closing Government	Lia TanⒸ
GMUK A	4th	Closing Opposition	Lia TanⒸ
MUST A	4th	Opening Government	Bea LegaspiⒸ
RSG Silver	2nd	Opening Opposition	Bea LegaspiⒸ
CW JR	3rd	Closing Government	Bea LegaspiⒸ
Madam Chair, the Global Poor	1st	Closing Opposition	Bea LegaspiⒸ
GMUK B	2nd	Opening Government	Francis VendiolaⒸ
Swing B	4th	Opening Opposition	Francis VendiolaⒸ
Swing A	3rd	Closing Government	Francis VendiolaⒸ
Eighteen	1st	Closing Opposition	Francis VendiolaⒸ
Iphone SE	4th	Opening Government	Daniel Christopher HaducaⒸ
CW LL	3rd	Opening Opposition	Daniel Christopher HaducaⒸ
CW AI	1st	Closing Government	Daniel Christopher HaducaⒸ
Enemies to partners	2nd	Closing Opposition	Daniel Christopher HaducaⒸ
very mindful, very demure	1st	Opening Opposition	Cj SalayoⒸ
We Don&#x27;t Like Snares	3rd	Opening Government	Cj SalayoⒸ
Hallabong 1	4th	Closing Government	Cj SalayoⒸ
Exons	2nd	Closing Opposition	Cj SalayoⒸ
CW CK	4th	Opening Government	Umar FazlanⒸ
Smart is just an Adjective to descr	1st	Opening Opposition	Umar FazlanⒸ
RSG Sapphire	3rd	Closing Government	Umar FazlanⒸ
Nova MT	2nd	Closing Opposition	Umar FazlanⒸ
DKU Deep Fried Oreos	4th	Opening Government	NayantaraⒸ
DKU Orbis linguam	1st	Opening Opposition	NayantaraⒸ
Nova Calamari	3rd	Closing Government	NayantaraⒸ
Big babies	2nd	Closing Opposition	NayantaraⒸ
Gambetto	2nd	Opening Government	Adel Mostaque AhmedⒸ
Agile Minds	1st	Opening Opposition	Adel Mostaque AhmedⒸ
Titan	3rd	Closing Government	Adel Mostaque AhmedⒸ
LOZO IDK	4th	Closing Opposition	Adel Mostaque AhmedⒸ
Better Up！！！	4th	Opening Government	Kenji TateⒸ
Hallabong 2	3rd	Opening Opposition	Kenji TateⒸ
LOZO - Wait Please No	1st	Closing Government	Kenji TateⒸ
Jellycat lovers	2nd	Closing Opposition	Kenji TateⒸ
LOZO - Too busy to reply when Coach	1st	Opening Government	Miro FortunaⒸ
Tough Love	2nd	Opening Opposition	Miro FortunaⒸ
DeepSick	4th	Closing Government	Miro FortunaⒸ
Call It	3rd	Closing Opposition	Miro FortunaⒸ
GDP 1	2nd	Opening Government	Kyle GoⒸ
CW TP	1st	Closing Government	Kyle GoⒸ
B&amp;I	4th	Closing Opposition	Kyle GoⒸ
Time is ticking！！！	3rd	Opening Opposition	Kyle GoⒸ
Team Africa	3rd	Opening Government	Asif Mehedi AdiⒸ
Shanghai Oreo	2nd	Opening Opposition	Asif Mehedi AdiⒸ
Mchua A	4th	Closing Government	Asif Mehedi AdiⒸ
Team Australia	1st	Closing Opposition	Asif Mehedi AdiⒸ
DKUAE	4th	Opening Government	Kyle Louis RamosⒸ
MUST D	3rd	Opening Opposition	Kyle Louis RamosⒸ
MUST B	1st	Closing Government	Kyle Louis RamosⒸ
Lawful Troublemakers	2nd	Closing Opposition	Kyle Louis RamosⒸ
CW LJ	3rd	Opening Government	George ChenⒸ , Ian Qiu
Blue Sky Kindergarten	2nd	Opening Opposition	George ChenⒸ , Ian Qiu
Nova Composites 50% of this team	4th	Closing Government	George ChenⒸ , Ian Qiu
CW CS	1st	Closing Opposition	George ChenⒸ , Ian Qiu
RSG Emerald	4th	Opening Government	Jaed BengzonⒸ
Two unprofessional dancers	1st	Opening Opposition	Jaed BengzonⒸ
November Rain	2nd	Closing Government	Jaed BengzonⒸ
LOZO - I’ll ask Charlotte	3rd	Closing Opposition	Jaed BengzonⒸ
CW EM	2nd	Opening Government	Louise WeeⒸ
LOZO - Trying to remember what we l	1st	Opening Opposition	Louise WeeⒸ
Charlie Bucket	4th	Closing Government	Louise WeeⒸ
MUST C	3rd	Closing Opposition	Louise WeeⒸ
Swing 250	1st	Opening Government	Prashasti SaxenaⒸ
DKU Waiguo Girls	4th	Opening Opposition	Prashasti SaxenaⒸ
Autumn Girls	3rd	Closing Government	Prashasti SaxenaⒸ
I Killed My Duolingo	2nd	Closing Opposition	Prashasti SaxenaⒸ
Mario flower	1st	Opening Government	Sharun NikeshⒸ
CW AC	4th	Opening Opposition	Sharun NikeshⒸ
Oriental Alchemists	3rd	Closing Government	Sharun NikeshⒸ
SUFE A	2nd	Closing Opposition	Sharun NikeshⒸ
LnR	4th	Opening Government	Ken SingsonⒸ
Whatever	3rd	Opening Opposition	Ken SingsonⒸ
McFlurry	1st	Closing Government	Ken SingsonⒸ
Nova Shrimp Tempura	2nd	Closing Opposition	Ken SingsonⒸ
Patina	4th	Opening Government	Matcha CualⒸ , Vu Duc Hung Allen
DKU Chipakam	2nd	Opening Opposition	Matcha CualⒸ , Vu Duc Hung Allen
Everlasting Passion	1st	Closing Government	Matcha CualⒸ , Vu Duc Hung Allen
SUFE C	3rd	Closing Opposition	Matcha CualⒸ , Vu Duc Hung Allen
Love and Kindness to Humanity	3rd	Opening Opposition	Daniella BarbacenaⒸ
Nova 4AM	2nd	Closing Government	Daniella BarbacenaⒸ
VADP HDPA	1st	Opening Government	Daniella BarbacenaⒸ
Cocacola	4th	Closing Opposition	Daniella BarbacenaⒸ
CW ME	2nd	Opening Government	Neackle MempinⒸ , Alikhan
Motion Sickness	4th	Opening Opposition	Neackle MempinⒸ , Alikhan
CW EK	3rd	Closing Government	Neackle MempinⒸ , Alikhan
CW RC	1st	Closing Opposition	Neackle MempinⒸ , Alikhan
Capstone AJ	3rd	Opening Government	Park YoungwooⒸ
CW KH	2nd	Opening Opposition	Park YoungwooⒸ
Mr Hobo	4th	Closing Government	Park YoungwooⒸ
We&#x27;re not invited	1st	Closing Opposition	Park YoungwooⒸ
This is a wug	3rd	Opening Government	Vinodhan KuppusamyⒸ
Chocolate taco	2nd	Opening Opposition	Vinodhan KuppusamyⒸ
Charli XCX? We are Careless XXX	1st	Closing Government	Vinodhan KuppusamyⒸ
CW JI	4th	Closing Opposition	Vinodhan KuppusamyⒸ
XxNoHacksJustBossxX	2nd	Opening Government	Klaudia MaciejewskaⒸ
Schrodingers arguments	1st	Opening Opposition	Klaudia MaciejewskaⒸ
We don’t have a 1st speaker	3rd	Closing Government	Klaudia MaciejewskaⒸ
Tung-Oh Go Away!	4th	Closing Opposition	Klaudia MaciejewskaⒸ
GMUK C	3rd	Opening Government	Aliyah HerlihyⒸ
CW LW	1st	Opening Opposition	Aliyah HerlihyⒸ
Nova Cannot Eat Wine	4th	Closing Government	Aliyah HerlihyⒸ
Talk That Sheet	2nd	Closing Opposition	Aliyah HerlihyⒸ
JH	1st	Opening Government	Jing Yu MaⒸ
Two Little Rizzlers	4th	Opening Opposition	Jing Yu MaⒸ
ILoVetEamChina	3rd	Closing Government	Jing Yu MaⒸ
RSG Red	2nd	Closing Opposition	Jing Yu MaⒸ
Nova Basketboy	2nd	Closing Government	Ben BensaliⒸ , Garrett Li
VADP LN	3rd	Opening Government	Ben BensaliⒸ , Garrett Li
SUFE B	4th	Opening Opposition	Ben BensaliⒸ , Garrett Li
DKU are you sober?	1st	Closing Opposition	Ben BensaliⒸ , Garrett Li
Name Pending（Please Hold）	4th	Opening Government	Judy JIⒸ , Xandy Sophia Armamento
CW TG	1st	Opening Opposition	Judy JIⒸ , Xandy Sophia Armamento
CW JB	3rd	Closing Government	Judy JIⒸ , Xandy Sophia Armamento
RSG Gold	2nd	Closing Opposition	Judy JIⒸ , Xandy Sophia Armamento


team	result	side	adjudicators
CW KH	advancing	Opening Government	Kyle GoⒸ , Maeca Pansensoy , Park Youngwoo , Prashasti Saxena , Xandy Sophia Armamento
Carelle	eliminated	Opening Opposition	Kyle GoⒸ , Maeca Pansensoy , Park Youngwoo , Prashasti Saxena , Xandy Sophia Armamento
We&#x27;re not invited	advancing	Closing Government	Kyle GoⒸ , Maeca Pansensoy , Park Youngwoo , Prashasti Saxena , Xandy Sophia Armamento
SUFE A	eliminated	Closing Opposition	Kyle GoⒸ , Maeca Pansensoy , Park Youngwoo , Prashasti Saxena , Xandy Sophia Armamento
Mr Hobo	eliminated	Opening Government	Kenji TateⒸ , Daniella Barbacena , Lia Tan , Vinodhan Kuppusamy , Vu Duc Hung Allen
Nova MT	eliminated	Opening Opposition	Kenji TateⒸ , Daniella Barbacena , Lia Tan , Vinodhan Kuppusamy , Vu Duc Hung Allen
Team Australia	advancing	Closing Government	Kenji TateⒸ , Daniella Barbacena , Lia Tan , Vinodhan Kuppusamy , Vu Duc Hung Allen
CW BV	advancing	Closing Opposition	Kenji TateⒸ , Daniella Barbacena , Lia Tan , Vinodhan Kuppusamy , Vu Duc Hung Allen
Team Africa	eliminated	Opening Government	Asif Mehedi AdiⒸ , Francis Vendiola , Luigi Alcañeses , Matcha Cual , Mezen Lababidi
Smart is just an Adjective to descr	eliminated	Opening Opposition	Asif Mehedi AdiⒸ , Francis Vendiola , Luigi Alcañeses , Matcha Cual , Mezen Lababidi
Charli XCX? We are Careless XXX	advancing	Closing Government	Asif Mehedi AdiⒸ , Francis Vendiola , Luigi Alcañeses , Matcha Cual , Mezen Lababidi
Xiao Bai	advancing	Closing Opposition	Asif Mehedi AdiⒸ , Francis Vendiola , Luigi Alcañeses , Matcha Cual , Mezen Lababidi
RSG Sapphire	eliminated	Opening Government	Judy JIⒸ , George Chen , Ian Qiu , Ken Singson , Louise Wee
CityUHK A	eliminated	Opening Opposition	Judy JIⒸ , George Chen , Ian Qiu , Ken Singson , Louise Wee
Shanghai Oreo	advancing	Closing Government	Judy JIⒸ , George Chen , Ian Qiu , Ken Singson , Louise Wee
Mchua A	advancing	Closing Opposition	Judy JIⒸ , George Chen , Ian Qiu , Ken Singson , Louise Wee


team	result	side	adjudicators
CW BV	advancing	Opening Government	Park YoungwooⒸ , Luigi Alcañeses , Maeca Pansensoy , Miro Fortuna , Nayantara
Team Australia	advancing	Opening Opposition	Park YoungwooⒸ , Luigi Alcañeses , Maeca Pansensoy , Miro Fortuna , Nayantara
We&#x27;re not invited	eliminated	Closing Government	Park YoungwooⒸ , Luigi Alcañeses , Maeca Pansensoy , Miro Fortuna , Nayantara
CW KH	eliminated	Closing Opposition	Park YoungwooⒸ , Luigi Alcañeses , Maeca Pansensoy , Miro Fortuna , Nayantara
Shanghai Oreo	advancing	Closing Opposition	Jordyn GibsonⒸ , Kavisshnu , Liam Oldrey , Sharun Nikesh , Xandy Sophia Armamento
Charli XCX? We are Careless XXX	eliminated	Opening Government	Jordyn GibsonⒸ , Kavisshnu , Liam Oldrey , Sharun Nikesh , Xandy Sophia Armamento
Xiao Bai	advancing	Opening Opposition	Jordyn GibsonⒸ , Kavisshnu , Liam Oldrey , Sharun Nikesh , Xandy Sophia Armamento
Mchua A	eliminated	Closing Government	Jordyn GibsonⒸ , Kavisshnu , Liam Oldrey , Sharun Nikesh , Xandy Sophia Armamento


team	result	side	adjudicators
Team Australia	advancing	Opening Opposition	Mezen LababidiⒸ , Klaudia Maciejewska , Matcha Cual , Neackle Mempin , Park Youngwoo , Umar Fazlan , Vinodhan Kuppusamy
Xiao Bai	eliminated	Closing Government	Mezen LababidiⒸ , Klaudia Maciejewska , Matcha Cual , Neackle Mempin , Park Youngwoo , Umar Fazlan , Vinodhan Kuppusamy
CW BV	eliminated	Closing Opposition	Mezen LababidiⒸ , Klaudia Maciejewska , Matcha Cual , Neackle Mempin , Park Youngwoo , Umar Fazlan , Vinodhan Kuppusamy
Shanghai Oreo	eliminated	Opening Government	Mezen LababidiⒸ , Klaudia Maciejewska , Matcha Cual , Neackle Mempin , Park Youngwoo , Umar Fazlan , Vinodhan Kuppusamy


team	result	side	adjudicators
CW AI	advancing	Opening Government	Ben BensaliⒸ , Aliyah Herlihy , Jing Yu Ma
Schrodingers arguments	eliminated	Opening Opposition	Ben BensaliⒸ , Aliyah Herlihy , Jing Yu Ma
Madam Chair, the Global Poor	eliminated	Closing Government	Ben BensaliⒸ , Aliyah Herlihy , Jing Yu Ma
Mario flower	advancing	Closing Opposition	Ben BensaliⒸ , Aliyah Herlihy , Jing Yu Ma
XxNoBossJustHacksxX	eliminated	Opening Government	Cj SalayoⒸ , Adel Mostaque Ahmed , Gabrielle Pacaño
CW TG	advancing	Opening Opposition	Cj SalayoⒸ , Adel Mostaque Ahmed , Gabrielle Pacaño
Capstone AJ	eliminated	Closing Government	Cj SalayoⒸ , Adel Mostaque Ahmed , Gabrielle Pacaño
LOZO JAYJAY	advancing	Closing Opposition	Cj SalayoⒸ , Adel Mostaque Ahmed , Gabrielle Pacaño
CW AB	eliminated	Opening Government	Jaed BengzonⒸ , Kyle Louis Ramos , Ngô Minh Kiên Jack
CW CS	advancing	Opening Opposition	Jaed BengzonⒸ , Kyle Louis Ramos , Ngô Minh Kiên Jack
CW RC	advancing	Closing Government	Jaed BengzonⒸ , Kyle Louis Ramos , Ngô Minh Kiên Jack
XxNoHacksJustBossxX	eliminated	Closing Opposition	Jaed BengzonⒸ , Kyle Louis Ramos , Ngô Minh Kiên Jack
Mmmmm, K	advancing	Opening Government	Sharun NikeshⒸ , Garrett Li , Klaudia Maciejewska
CW AE	advancing	Opening Opposition	Sharun NikeshⒸ , Garrett Li , Klaudia Maciejewska
CW YM	eliminated	Closing Government	Sharun NikeshⒸ , Garrett Li , Klaudia Maciejewska
PLKC A	eliminated	Closing Opposition	Sharun NikeshⒸ , Garrett Li , Klaudia Maciejewska


team	result	side	adjudicators
CW TG	advancing	Opening Government	Umar FazlanⒸ , Christopher Chua , Kyle Go , Louise Wee , Vinodhan Kuppusamy
LOZO JAYJAY	eliminated	Opening Opposition	Umar FazlanⒸ , Christopher Chua , Kyle Go , Louise Wee , Vinodhan Kuppusamy
CW AE	eliminated	Closing Government	Umar FazlanⒸ , Christopher Chua , Kyle Go , Louise Wee , Vinodhan Kuppusamy
Mmmmm, K	advancing	Closing Opposition	Umar FazlanⒸ , Christopher Chua , Kyle Go , Louise Wee , Vinodhan Kuppusamy
Mario flower	advancing	Closing Opposition	Neackle MempinⒸ , Alikhan , Asif Mehedi Adi , Daniel Christopher Haduca , Lia Tan
CW RC	eliminated	Opening Government	Neackle MempinⒸ , Alikhan , Asif Mehedi Adi , Daniel Christopher Haduca , Lia Tan
CW AI	advancing	Opening Opposition	Neackle MempinⒸ , Alikhan , Asif Mehedi Adi , Daniel Christopher Haduca , Lia Tan
CW CS	eliminated	Closing Government	Neackle MempinⒸ , Alikhan , Asif Mehedi Adi , Daniel Christopher Haduca , Lia Tan


team	result	side	adjudicators
CW TG	eliminated	Opening Opposition	Maeca PansensoyⒸ , Asif Mehedi Adi , George Chen , Judy JI , Kenji Tate , Luigi Alcañeses , Prashasti Saxena
CW AI	advancing	Closing Government	Maeca PansensoyⒸ , Asif Mehedi Adi , George Chen , Judy JI , Kenji Tate , Luigi Alcañeses , Prashasti Saxena
Mmmmm, K	eliminated	Closing Opposition	Maeca PansensoyⒸ , Asif Mehedi Adi , George Chen , Judy JI , Kenji Tate , Luigi Alcañeses , Prashasti Saxena
Mario flower	eliminated	Opening Government	Maeca PansensoyⒸ , Asif Mehedi Adi , George Chen , Judy JI , Kenji Tate , Luigi Alcañeses , Prashasti Saxena


team	result	side	adjudicators
Chocolate taco	eliminated	Opening Government	Jonathan TuliaoⒸ , Alikhan , Jordyn Gibson
Tung tung sahur	advancing	Opening Opposition	Jonathan TuliaoⒸ , Alikhan , Jordyn Gibson
RSG Gold	eliminated	Closing Government	Jonathan TuliaoⒸ , Alikhan , Jordyn Gibson
RSG Silver	advancing	Closing Opposition	Jonathan TuliaoⒸ , Alikhan , Jordyn Gibson
Swing 250	advancing	Opening Government	Miro FortunaⒸ , Liam Oldrey , Umar Fazlan
CW JB	advancing	Opening Opposition	Miro FortunaⒸ , Liam Oldrey , Umar Fazlan
LOZO - Wait Please No	eliminated	Closing Government	Miro FortunaⒸ , Liam Oldrey , Umar Fazlan
CW LJ	eliminated	Closing Opposition	Miro FortunaⒸ , Liam Oldrey , Umar Fazlan
strawberry	advancing	Opening Government	KavisshnuⒸ , Christopher Chua , Neackle Mempin
guava	eliminated	Opening Opposition	KavisshnuⒸ , Christopher Chua , Neackle Mempin
CW TP	eliminated	Closing Government	KavisshnuⒸ , Christopher Chua , Neackle Mempin
Tung-Oh Go Away!	advancing	Closing Opposition	KavisshnuⒸ , Christopher Chua , Neackle Mempin
CW CK	advancing	Opening Government	Daniel Christopher HaducaⒸ , Bea Legaspi , Nayantara
CW JI	advancing	Opening Opposition	Daniel Christopher HaducaⒸ , Bea Legaspi , Nayantara
CW NK	eliminated	Closing Government	Daniel Christopher HaducaⒸ , Bea Legaspi , Nayantara
Iphone SE	eliminated	Closing Opposition	Daniel Christopher HaducaⒸ , Bea Legaspi , Nayantara


team	result	side	adjudicators
CW JI	eliminated	Opening Government	Daniella BarbacenaⒸ , Adel Mostaque Ahmed , Ben Bensali , Garrett Li , Kyle Louis Ramos
RSG Silver	advancing	Opening Opposition	Daniella BarbacenaⒸ , Adel Mostaque Ahmed , Ben Bensali , Garrett Li , Kyle Louis Ramos
Tung tung sahur	eliminated	Closing Government	Daniella BarbacenaⒸ , Adel Mostaque Ahmed , Ben Bensali , Garrett Li , Kyle Louis Ramos
CW CK	advancing	Closing Opposition	Daniella BarbacenaⒸ , Adel Mostaque Ahmed , Ben Bensali , Garrett Li , Kyle Louis Ramos
CW JB	advancing	Opening Government	Ngô Minh Kiên JackⒸ , Gabrielle Pacaño , Jaed Bengzon , Matcha Cual , Prashasti Saxena
strawberry	advancing	Opening Opposition	Ngô Minh Kiên JackⒸ , Gabrielle Pacaño , Jaed Bengzon , Matcha Cual , Prashasti Saxena
Swing 250	eliminated	Closing Government	Ngô Minh Kiên JackⒸ , Gabrielle Pacaño , Jaed Bengzon , Matcha Cual , Prashasti Saxena
